"full_name","q","i","pha","H","moid","ad","first_obs","condition_code"
"   433 Eros (A898 PA)",1.133,10.83,N,10.41,0.15,1.78,1893-10-29,0
"   719 Albert (A911 TB)",1.195,11.58,N,15.59,0.201,4.08,1911-10-04,0
"   887 Alinda (A918 AA)",1.060,9.40,N,13.84,0.0805,3.88,1918-02-03,0
"  1036 Ganymed (A924 UB)",1.245,26.69,N,9.20,0.345,4.09,1924-10-23,0
"  1221 Amor (1932 EA1)",1.085,11.87,N,17.38,0.111,2.75,1932-03-12,0
"  1566 Icarus (1949 MA)",0.187,22.80,Y,16.55,0.0342,1.97,1949-07-01,0
"  1580 Betulia (1950 KA)",1.125,52.19,N,14.68,0.136,3.27,1952-10-27,0
"  1620 Geographos (1951 RA)",0.828,13.34,Y,15.27,0.03,1.66,1951-09-14,0
"  1627 Ivar (1929 SH)",1.124,8.45,N,12.83,0.112,2.60,1929-09-25,0
"  1685 Toro (1948 OA)",0.771,9.38,N,14.28,0.0504,1.96,1948-07-17,0
"  1862 Apollo (1932 HA)",0.647,6.35,Y,16.08,0.026,2.29,1930-12-13,0
"  1863 Antinous (1948 EA)",0.890,18.35,N,15.45,0.187,3.63,1948-03-05,0
"  1864 Daedalus (1971 FA)",0.564,22.21,N,14.86,0.27,2.36,1971-03-24,0
"  1865 Cerberus (1971 UA)",0.576,16.10,N,16.79,0.157,1.58,1971-11-10,0
"  1866 Sisyphus (1972 XA)",0.875,41.21,N,12.50,0.104,2.91,1955-01-26,0
"  1915 Quetzalcoatl (1953 EA)",1.093,20.40,N,18.38,0.111,4.00,1953-03-09,0
"  1916 Boreas (1953 RA)",1.252,12.88,N,14.95,0.253,3.29,1953-09-01,0
"  1917 Cuyo (1968 AA)",1.062,23.96,N,14.41,0.0719,3.24,1954-05-06,0
"  1943 Anteros (1973 EC)",1.064,8.71,N,15.70,0.0637,1.80,1973-03-10,0
"  1980 Tezcatlipoca (1950 LA)",1.086,26.87,N,13.84,0.245,2.33,1950-06-19,0
"  1981 Midas (1973 EA)",0.621,39.82,Y,15.28,0.00488,2.93,1973-03-06,0
"  2059 Baboquivari (1963 UA)",1.237,11.02,N,15.98,0.244,4.05,1963-10-16,0
"  2061 Anza (1960 UA)",1.052,3.80,N,16.70,0.0561,3.48,1960-10-22,0
"  2062 Aten (1976 AA)",0.790,18.93,N,17.11,0.114,1.14,1955-12-17,0
"  2063 Bacchus (1977 HB)",0.701,9.44,N,17.21,0.0679,1.45,1977-04-24,0
"  2100 Ra-Shalom (1978 RA)",0.469,15.75,N,16.23,0.15,1.20,1975-10-03,0
"  2101 Adonis (1936 CA)",0.442,1.32,Y,18.72,0.0116,3.31,1936-02-21,0
"  2102 Tantalus (1975 YA)",0.904,64.00,Y,16.00,0.0436,1.68,1976-01-02,0
"  2135 Aristaeus (1977 HA)",0.795,23.07,Y,18.05,0.011,2.40,1977-04-17,1
"  2201 Oljato (1947 XC)",0.630,2.52,Y,15.34,0.00259,3.73,1931-12-03,0
"  2202 Pele (1972 RA)",1.116,8.74,N,17.17,0.144,3.47,1972-09-07,0
"  2212 Hephaistos (1978 SB)",0.355,11.31,N,13.51,0.113,3.98,1978-09-27,0
"  2329 Orthos (1976 WA)",0.836,24.46,N,14.58,0.0931,3.99,1976-05-31,0
"  2340 Hathor (1976 UA)",0.464,5.86,Y,20.43,0.00669,1.22,1976-10-25,0
"  2368 Beltrovata (1977 RA)",1.234,5.22,N,15.15,0.232,2.97,1977-09-04,0
"  2608 Seneca (1978 DA)",1.101,14.43,N,17.48,0.155,3.96,1978-02-17,1
"  3102 Krok (1981 QA)",1.185,8.44,N,16.17,0.184,3.12,1981-08-21,0
"  3103 Eger (1982 BB)",0.907,20.93,N,15.30,0.0799,1.90,1982-01-21,0
"  3122 Florence (1981 ET3)",1.021,22.14,Y,14.10,0.0449,2.52,1979-03-09,0
"  3199 Nefertiti (1982 RA)",1.127,32.96,N,15.03,0.216,2.02,1982-09-13,0
