"Designation","Discovery Date (YYYY-MM-DD)","H (mag)","MOID (au)","q (au)","Q (au)","period (yr)","i (deg)","PHA","Orbit Class"
"(2024 FL4)","2024-03-31","21.61","0.097","1.07","3.77","3.76","15.58","N","Amor"
"(2024 ET5)","2024-03-14","20.68","0.238","1.16","4.23","4.42","15.23","N","Amor"
"(2024 EO2)","2024-03-01","19.08","0.195","1.19","4.55","4.86","54.73","N","Amor"
"(2024 AP7)","2024-01-15","19.79","0.224","0.59","2.91","2.31","24.54","N","Apollo"
"(2024 AF6)","2024-01-13","20.67","0.132","0.43","1.02","0.62","15.05","N","Aten"
"(2023 YH2)","2023-12-22","22.45","0.015","0.64","1.15","0.85","9.41","N","Aten"
"(2023 YN1)","2023-12-19","21.03","0.288","1.26","5.11","5.69","18.55","N","Amor"
"(2023 WE3)","2023-11-19","20.72","0.02","0.88","3.33","3.06","7.25","Y","Apollo"
"(2023 WY2)","2023-11-19","18.91","0.239","1.05","7.81","9.33","25.03","N","Amor"
"(2023 VV2)","2023-11-04","23.5","0.028","1.02","2.79","2.63","7.37","N","Amor"
"(2023 UN9)","2023-10-21","20.73","0.152","0.81","1.15","0.97","18.28","N","Aten"
"(2023 QR6)","2023-08-18","18.27","0.29","0.55","4.01","3.44","38.6","N","Apollo"
"(2023 KU5)","2023-05-28","20.74","0.064","0.92","4.17","4.06","14.72","N","Apollo"
"(2023 CE4)","2023-02-12","23.19","0.05","0.94","3.59","3.42","9.16","N","Apollo"
"(2022 YL7)","2022-12-26","20.34","0.201","0.27","2.13","1.32","27.16","N","Apollo"
"(2022 XG2)","2022-12-11","21.05","0.208","0.92","2.62","2.35","27.15","N","Apollo"
"(2022 WO14)","2022-11-29","21.7","0.15","1.14","3.81","3.89","28.57","N","Amor"
"(2022 WY14)","2022-11-24","17.94","0.455","0.55","4.96","4.57","36.94","N","Apollo"
"(2022 VL2)","2022-11-10","20.28","0.259","1.23","3.08","3.16","23.87","N","Amor"
